url,name,cost_text,rooms,parking,desc,schools
https://www.domain.com.au/72-kyla-avenue-dandenong-vic-3175-17150585,"72 Kyla Avenue, Dandenong VIC 3175","$700 p/w, $3,042 pcm","4 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/302-54-56-scott-street-dandenong-vic-3175-17133873,"302/54-56 Scott Street, Dandenong VIC 3175",$680,"3 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/thomas-st-dandenong-vic-3175-16360537,Thomas St Dandenong VIC 3175,$650,"1 Bed, 1 Bath",− Parking,* Unverified feature,N/A
https://www.domain.com.au/189-kirkham-road-dandenong-vic-3175-17150172,"189 Kirkham Road, Dandenong VIC 3175",$650,"3 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/18-68-cheltenham-road-dandenong-vic-3175-16418913,"18/68 Cheltenham Road, Dandenong VIC 3175",$650,"3 Beds, 3 Baths",2 Parking,"This immaculate triple-storey home conveniently located just a short walk to the train station, shops, cafes, and close to Plaza and Market.",N/A
https://www.domain.com.au/2-3-7-53-pultney-street-dandenong-vic-3175-17110286,"2,3,7/53 Pultney Street, Dandenong VIC 3175",$640,"3 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/thomas-street-dandenong-vic-3175-16355171,Thomas Street Dandenong VIC 3175,$600,"1 Bed, 1 Bath",− Parking,* Unverified feature,N/A
https://www.domain.com.au/5-40-power-street-dandenong-vic-3175-17096350,"5/40 Power Street, Dandenong VIC 3175",$600,"2 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-40-power-street-dandenong-vic-3175-17096353,"2/40 Power Street, Dandenong VIC 3175",$600,"2 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-jesson-crescent-dandenong-vic-3175-17188618,"2 Jesson Crescent, Dandenong VIC 3175",$600 per week/$2607 pcm,"3 Beds, 2 Baths",3 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-89-clow-street-dandenong-vic-3175-17140172,"2/89 Clow Street, Dandenong VIC 3175",$ 600 PER WEEK,"3 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-14-roberta-street-dandenong-vic-3175-17178180,"2/14 Roberta Street, Dandenong VIC 3175",$580 per week,"2 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/1-7-vera-court-dandenong-vic-3175-17150819,"1/7 Vera Court, Dandenong VIC 3175",$ 580 PER WEEK,"3 Beds, 1 Bath",1 Parking,Freshly renovated you will find this unit meets all your needs.,N/A
https://www.domain.com.au/2-5-burrows-avenue-dandenong-vic-3175-17167227,"2/5 Burrows Avenue, Dandenong VIC 3175",$580 Per Week,"3 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/13-louis-avenue-dandenong-vic-3175-17188589,"13 Louis Avenue, Dandenong VIC 3175",$580 per week,"3 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/g05-54-56-scott-street-dandenong-vic-3175-17018978,"G05/54-56 Scott Street, Dandenong VIC 3175",$580,"2 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/1-129-mcfees-road-dandenong-vic-3175-17185250,"1/129 Mcfees Road, Dandenong VIC 3175",$ 560 PER WEEK,"3 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/11-lockington-crescent-dandenong-vic-3175-17178177,"11 Lockington Crescent, Dandenong VIC 3175",$560,"3 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/1-7-the-glade-dandenong-vic-3175-17136894,"1/7 The Glade, Dandenong VIC 3175",$560 per week,"5 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/1-albert-street-dandenong-vic-3175-17172703,"1 Albert Street, Dandenong VIC 3175",$550 pw,"3 Beds, 1 Bath",2 Parking,PLEASE NOTE: Open for Inspection Times and Property Availability are subject to change or cancellation. If you wish to be notified of any cancellations or changes please register your details for an inspection.,N/A
https://www.domain.com.au/70-hammond-road-dandenong-vic-3175-17172031,"70 Hammond Road, Dandenong VIC 3175",$550 weekly,"3 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/46-benga-avenue-dandenong-vic-3175-17050459,"46 Benga Avenue, Dandenong VIC 3175",$550 per week,"5 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/4-9-wilma-avenue-dandenong-vic-3175-17186357,"4/9 Wilma Avenue, Dandenong VIC 3175",$550,"3 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/6-67-jones-rd-dandenong-vic-3175-17173378,"6/67 Jones Rd, Dandenong VIC 3175",$550 weekly,"3 Beds, 1 Bath",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/3-86-kirkham-road-dandenong-vic-3175-17173364,"3/86 Kirkham Road, Dandenong VIC 3175","$550pw | $2,390pcm","3 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/3-7-robert-street-dandenong-vic-3175-17171530,"3/7 Robert Street, Dandenong VIC 3175",$540 per week,"2 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-1-gooding-court-dandenong-vic-3175-17186922,"2/1 Gooding Court, Dandenong VIC 3175",$540.00 Per Week,"3 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-14-wallace-avenue-dandenong-vic-3175-17188337,"2/14 Wallace Avenue, Dandenong VIC 3175",$ 530 PER WEEK,"2 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/17-king-street-dandenong-vic-3175-17162909,"17 King Street, Dandenong VIC 3175",$530 PER WEEK,"3 Beds, 1 Bath",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/1516-heatherton-road-dandenong-vic-3175-17154100,"1516 Heatherton Road, Dandenong VIC 3175",$525,"3 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/4-13-grant-street-dandenong-vic-3175-17172197,"4/13 Grant Street, Dandenong VIC 3175",$520 per week,"2 Beds, 1 Bath",1 Parking,"This little gem is sure to impress, with his layout and space, fantastically designed to make the most of the natural light. The property boasts high ceilings, bright interiors, and quality throughout. On the ground floor, an open-plan living and dining area connect with the private courtyard. The kitchen beams brightly with white finishes including stone benchtops, plenty of cabinetry, and a",N/A
https://www.domain.com.au/4-15-james-street-dandenong-vic-3175-17149826,"4/15 James Street, Dandenong VIC 3175",$520 per week,"3 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/27-mcfees-road-dandenong-vic-3175-17186251,"27 McFees Road, Dandenong VIC 3175",$520 per week,"3 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-112-james-street-dandenong-vic-3175-13939781,"2/112 James Street, Dandenong VIC 3175",$500 PW,"2 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/75-ann-street-dandenong-vic-3175-16505201,"75 Ann Street, Dandenong VIC 3175",$500,"3 Beds, 1 Bath",2 Parking,"This spacious 3 bedroom home with polished floors thr/out. Lounge with gas heating. Kitchen has gas cooking & meals area. Sep bathroom, toilet & laundry. Rear yard. Walk to market, schools, plaza & buses.",N/A
https://www.domain.com.au/47-jones-road-dandenong-vic-3175-17184716,"47 Jones Road, Dandenong VIC 3175",$500 per week,"3 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/19-ash-grove-dandenong-vic-3175-17168911,"19 Ash Grove, Dandenong VIC 3175",$500 PER WEEK pw,"2 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/158-cleeland-street-dandenong-vic-3175-17185753,"158 Cleeland Street, Dandenong VIC 3175",$490,"3 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/12-149a-princes-highway-dandenong-vic-3175-17178315,"12/149A Princes Highway, Dandenong VIC 3175",$470 per week,"2 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-5-7-margaret-crescent-dandenong-vic-3175-17181973,"2/5-7 Margaret Crescent, Dandenong VIC 3175",$ 460 PER WEEK,"3 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/3-21-wilson-street-dandenong-vic-3175-17168106,"3/21 Wilson Street, Dandenong VIC 3175",$ 455 PER WEEK,"2 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/26-wedge-street-dandenong-vic-3175-17163916,"26 Wedge Street, Dandenong VIC 3175",$450 pw,"2 Beds, 1 Bath",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/17-23-edith-street-dandenong-vic-3175-17159870,"17/23 Edith Street, Dandenong VIC 3175",$450 pw,"2 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/7-9-mcfarlane-crescent-dandenong-vic-3175-17125816,"7/9 McFarlane Crescent, Dandenong VIC 3175",$ 440 PER WEEK,"2 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/8-20-close-avenue-dandenong-vic-3175-17150761,"8/20 Close Avenue, Dandenong VIC 3175",$ 420 PER WEEK,"2 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/4-64-66-scott-street-dandenong-vic-3175-17186825,"4/64-66 Scott Street, Dandenong VIC 3175",$1800 per month,"2 Beds, 1 Bath",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/1-58-hemmings-street-dandenong-vic-3175-17184772,"1/58 Hemmings Street, Dandenong VIC 3175",$ 400 PER WEEK,"2 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/312-80-cheltenham-road-dandenong-vic-3175-17158224,"312/80 Cheltenham Road, Dandenong VIC 3175",$400,"1 Bed, 1 Bath",− Parking,"Discover this ultra-affordable one-bedroom apartment on Cheltenham Road, Dandenong. Ideal for singles or couples, this cozy residence offers the perfect blend of comfort and convenience. The well-appointed bedroom and bathroom ensure all your essential needs are met, making it an excellent choice for those looking to rent in a vibrant community.",N/A
https://www.domain.com.au/6-47-49-scott-street-dandenong-vic-3175-16759011,"6/47-49 Scott Street, Dandenong VIC 3175",$400 per week,"2 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/14-116-princes-highway-dandenong-vic-3175-17181967,"14/116 Princes Highway, Dandenong VIC 3175",$380 per week,"2 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/3-9-peter-court-dandenong-vic-3175-17184237,"3/9 Peter Court, Dandenong VIC 3175",$380 per week,"2 Beds, 1 Bath",1 Parking,"This 2 bedroom unit is located in a perfect location and features 2 bedrooms both with built in robes, carpet to bedrooms, lounge with timber floors and kitchen and bathroom with ceramic tiles. The kitchen features an electric oven and a stove with room for a small dining table.",N/A
https://www.domain.com.au/6-wedge-street-dandenong-vic-3175-17137721,"6 Wedge Street, Dandenong VIC 3175",$380 per week,"3 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/160-cleeland-street-dandenong-vic-3175-16975202,"160 Cleeland Street, Dandenong VIC 3175",$350 per week (Includes Utilities),"1 Bed, 1 Bath",− Parking,* Unverified feature,N/A
