,postcode,locality
6202,3000,MELBOURNE
6203,3001,MELBOURNE
6204,3002,EAST MELBOURNE
6205,3003,WEST MELBOURNE
6206,3004,MELBOURNE
6207,3004,ST KILDA ROAD CENTRAL
6208,3004,ST KILDA ROAD MELBOURNE
6209,3005,WORLD TRADE CENTRE
6210,3006,SOUTH WHARF
6211,3006,SOUTHBANK
6212,3008,DOCKLANDS
6213,3010,UNIVERSITY OF MELBOURNE
6214,3011,FOOTSCRAY
6215,3011,SEDDON
6216,3011,SEDDON WEST
6217,3012,BROOKLYN
6218,3012,KINGSVILLE
6219,3012,KINGSVILLE WEST
6220,3012,MAIDSTONE
6221,3012,TOTTENHAM
6222,3012,WEST FOOTSCRAY
6223,3013,YARRAVILLE
6224,3013,YARRAVILLE WEST
6225,3015,NEWPORT
6226,3015,SOUTH KINGSVILLE
6227,3015,SPOTSWOOD
6228,3016,WILLIAMSTOWN
6229,3016,WILLIAMSTOWN NORTH
6230,3018,ALTONA
6231,3018,SEAHOLME
6232,3019,BRAYBROOK
6233,3019,BRAYBROOK NORTH
6234,3019,ROBINSON
6235,3020,ALBION
6236,3020,GLENGALA
6237,3020,SUNSHINE
6238,3020,SUNSHINE NORTH
6239,3020,SUNSHINE WEST
6240,3021,ALBANVALE
6241,3021,KEALBA
6242,3021,KINGS PARK
6243,3021,ST ALBANS
6244,3022,ARDEER
6245,3022,DEER PARK EAST
6246,3023,BURNSIDE
6247,3023,BURNSIDE HEIGHTS
6248,3023,CAIRNLEA
6249,3023,CAROLINE SPRINGS
6250,3023,DEER PARK
6251,3023,DEER PARK NORTH
6252,3023,RAVENHALL
6253,3024,FIELDSTONE
6254,3024,MAMBOURIN
6255,3024,MANOR LAKES
6256,3024,MOUNT COTTRELL
6257,3024,WYNDHAM VALE
6258,3025,ALTONA EAST
6259,3025,ALTONA GATE
6260,3025,ALTONA NORTH
6261,3026,DERRIMUT
6262,3026,LAVERTON NORTH
6263,3027,LAVERTON RAAF
6264,3027,WILLIAMS LANDING
6265,3027,WILLIAMS RAAF
6266,3028,ALTONA MEADOWS
6267,3028,LAVERTON
6268,3028,SEABROOK
6269,3029,HOPPERS CROSSING
6270,3029,TARNEIT
6271,3029,TRUGANINA
6272,3030,CHARTWELL
6273,3030,COCOROC
6274,3030,POINT COOK
6275,3030,QUANDONG
6276,3030,WERRIBEE
6277,3030,WERRIBEE SOUTH
6278,3031,FLEMINGTON
6279,3031,KENSINGTON
6280,3032,ASCOT VALE
6281,3032,HIGHPOINT CITY
6282,3032,MARIBYRNONG
6283,3032,TRAVANCORE
